DWA_ID_dup,Finance,V1,pct,AIOE
4.A.1.a.2.I08.D03,Finance,3.52961538461538,0.00626517507569564,6.63811383553074
4.A.1.a.2.I10.D01,Hors finance,3.56785714285714,0.0225957133877548,6.57725918978764
4.A.1.a.2.I10.D02,Hors finance,3.58458333333333,0.0146872137020406,6.42840619082911
4.A.1.a.2.I10.D03,Hors finance,3.722,0.306069208615951,6.51791464672499
4.A.1.a.2.I11.D01,Hors finance,3.835,0.00390289594879401,6.34233803721022
4.A.1.a.2.I11.D02,Hors finance,3.68735294117647,0.0044164348894248,6.01130463909375
4.A.1.a.2.I11.D03,Hors finance,4.12166666666667,0.00862745420259728,6.05890779658602
4.A.1.a.2.I11.D04,Finance,3.53359375,0.0389262516998139,6.43261587598221
4.A.1.a.2.I11.D07,Hors finance,3.395,0.0134547202445267,6.67153342786335
4.A.1.a.2.I11.D09,Hors finance,3.9525,0.0163305383120591,5.97131281762275
4.A.1.a.2.I11.D10,Finance,3.4992,0.00154061682189237,6.27124347415864
4.A.1.a.2.I11.D11,Hors finance,3.957,0.00934640871948038,6.30800479048685
4.A.1.b.1.I02.D01,Hors finance,3.050625,0.00184874018627084,6.66430174685356
4.A.1.b.1.I02.D02,Finance,3.195,0.040261452945454,6.48956226498837
4.A.1.b.1.I02.D03,Finance,3.897,0.0291690118278289,6.61952245446384
4.A.1.b.1.I02.D04,Finance,3.33785714285714,0.00985994766011117,6.62518940674842
4.A.1.b.1.I02.D05,Hors finance,3.83785714285714,0.00811391526196648,6.43213663599684
4.A.1.b.1.I02.D06,Finance,3.3952,0.0108870255413728,6.37901793596229
4.A.1.b.2.I02.D02,Hors finance,4.15,0.00256769470315395,5.69482599008512
4.A.1.b.2.I03.D01,Hors finance,3.96538461538462,0.00554622055881253,5.78758393851787
4.A.1.b.2.I03.D02,Hors finance,3.71392857142857,0.00236227912690163,6.09966918572663
4.A.1.b.2.I03.D03,Hors finance,4.15785714285714,0.179019674703893,5.92861563873518
4.A.1.b.2.I03.D04,Hors finance,3.7025,0.219691958801852,6.15598562559065
4.A.1.b.2.I03.D05,Hors finance,3.91379310344828,0.00564892834693869,5.73447477152324
4.A.1.b.2.I03.D07,Hors finance,3.77916666666667,0.0107843177532466,6.34078525664331
4.A.1.b.2.I04.D01,Hors finance,3.87314814814815,0.00975723987198501,5.72055712205981
4.A.1.b.2.I04.D02,Hors finance,3.9447619047619,0.0105789021769943,5.60624657099598
4.A.1.b.2.I05.D05,Hors finance,3.80785714285714,0.00154061682189237,6.27072251847419
4.A.1.b.2.I05.D08,Hors finance,3.39115384615385,0.0070868373807049,6.22572005283512
4.A.1.b.2.I05.D12,Hors finance,3.54086206896552,0.00390289594879401,6.54878191160414
4.A.1.b.2.I05.D14,Hors finance,3.845,0.00205415576252316,5.71848636295781
4.A.1.b.2.I06.D05,Hors finance,3.94636363636364,0.00174603239814469,5.59628104749648
4.A.1.b.2.I06.D11,Hors finance,3.36233333333333,0.00451914267755095,5.93331162342827
4.A.1.b.2.I06.D12,Hors finance,3.656,0.00338935700816322,5.78319120158587
4.A.1.b.2.I06.D16,Hors finance,3.60473684210526,0.0196171875320962,5.88644363751781
4.A.1.b.2.I06.D17,Hors finance,3.72605263157895,0.0044164348894248,5.44408241546392
4.A.1.b.2.I07.D03,Hors finance,3.74928571428571,0.00975723987198501,5.61670565372026
4.A.1.b.2.I07.D08,Hors finance,4.049,0.053921588766233,5.57897288320328
4.A.1.b.2.I07.D09,Hors finance,3.690625,0.00729225295695722,6.51506549460704
4.A.1.b.2.I07.D11,Hors finance,3.85833333333333,0.029271719615955,6.32902482519682
4.A.1.b.2.I07.D15,Hors finance,3.76732558139535,0.00246498691502779,5.66921508334736
4.A.1.b.2.I07.D20,Hors finance,3.8178125,0.00164332461001853,5.67325149187901
4.A.1.b.2.I08.D01,Hors finance,3.70545454545455,0.0464239202330234,6.41187715713536
4.A.1.b.2.I08.D02,Hors finance,3.65178571428571,0.233557510198883,6.56862319464065
4.A.1.b.2.I08.D03,Hors finance,3.48815789473684,3.72551959870013,6.53544088053301
4.A.1.b.2.I09.D02,Hors finance,3.43333333333333,0.00205415576252316,5.71543411995582
4.A.1.b.2.I09.D03,Hors finance,4.214375,0.0107843177532466,6.20041027013808
4.A.1.b.2.I09.D04,Hors finance,4.035,0.00308123364378474,5.91144371713109
4.A.1.b.2.I10.D05,Hors finance,4.13666666666667,0.00154061682189237,5.80550526216426
